20200225,3.755
20200226,3.932
20200227,9.265
20200228,6.344
20200229,7.874
20200301,13.205
20200302,2.049
20200303,2.373
20200304,5.367
20200305,15.981
20200306,2.918
20200307,1.845
20200308,5.541
20200309,16.862
20200310,16.324
20200311,16.547
20200312,11.492
20200313,10.386
20200314,13.955
20200315,16.377
20200316,12.894
20200317,11.542
20200318,19.061
20200319,11.351
20200320,10.598
20200321,3.887
20200322,11.725
20200323,19.854
20200324,20.848
20200325,20.73
20200326,16.773
20200327,19.72
20200328,19.584
20200329,10.84
20200330,11.591
20200331,0.69
20200401,16.892
20200402,19.216
20200403,9.35
