Time,I1V,I1A,I1P,I2V,I2A,I2P,I3V,I3A,I3P,I4V,I4A,I4P,G1V,G1A,G1P,G2V,G2A,G2P,G3V,G3A,G3P,FRQ,EFF,INVT,BOOT,SR,KWHT
06:35:01,240.516678,0.026585,6.394088,257.215668,0.024168,6.216389,,,,,,,243.844528,0.835581,0,,,,,,,50.015003,0,18.874542,19.152994,,23204.747
06:40:02,343.791473,0.020946,7.200919,344.949219,0.017723,6.113604,,,,,,,242.678741,0.835581,0,,,,,,,49.980007,0,19.452557,19.911421,,23204.747
06:45:01,322.893188,0.029002,9.364419,258.510773,0.034641,8.95502,,,,,,,243.456573,0.094727,0,,,,,,,49.970016,0,20.547377,20.361774,,23204.747
06:50:07,284.412872,0.034641,9.852289,251.466187,0.037058,9.318733,,,,,,,242.970703,0.094727,0,,,,,,,49.989002,0,21.838121,21.077326,,23204.747
06:55:10,333.68573,0.035446,11.827958,257.980957,0.044308,11.430621,,,,,,,243.27446,0.094727,0,,,,,,,49.975014,0,22.310106,21.553326,,23204.747
07:00:05,354.289673,0.045919,16.2687,341.358246,0.048336,16.499893,,,,,,,242.630035,0.094727,7.250977,,,,,,,50.013004,22.127823,22.708332,21.940624,,23204.747
07:05:15,354.819489,0.06767,24.010778,346.460175,0.06767,23.445101,,,,,,,241.64183,0.094727,32.226562,,,,,,,50.021008,67.90847,23.264633,22.503839,,23204.748
07:10:06,355.447418,0.072504,25.771358,361.922943,0.071698,25.949297,,,,,,,245.667038,0.094727,20.141602,,,,,,,50.000999,38.94305,23.740625,22.884224,,23204.75
07:15:06,383.076324,0.082977,31.786449,361.726715,0.087005,31.471962,,,,,,,245.30603,0.094727,29.80957,,,,,,,49.986004,47.123489,24.310732,23.359669,,23204.752
07:20:03,372.970581,0.105534,39.360928,389.90506,0.103922,40.519871,,,,,,,246.111542,0.426047,46.728516,,,,,,,49.999001,58.49781,24.791342,23.835203,,23204.755
07:25:05,408.213135,0.134535,54.919041,411.47052,0.12809,52.705421,,,,,,,245.101212,0.426047,83.473763,,,,,,,50.005001,77.560211,25.482508,24.407494,,23204.761
07:30:11,401.011566,0.166759,66.872368,387.295227,0.164342,63.649029,,,,,,,243.953552,0.426047,111.153893,,,,,,,50.001999,85.161438,26.028368,24.976372,,23204.769
07:35:00,419.613983,0.198983,83.49614,420.379272,0.200594,84.325729,,,,,,,244.098801,0.66859,141.276398,,,,,,,49.983006,84.18235,26.630014,25.546146,,23204.779
07:40:06,424.990631,0.206234,87.647346,435.037506,0.202206,87.967018,,,,,,,244.195618,0.66859,144.532867,,,,,,,49.998001,82.301277,27.145384,26.028368,,23204.791
07:45:11,423.401184,0.211873,89.707191,410.803345,0.219929,90.347488,,,,,,,244.497849,0.66859,153.488205,,,,,,,49.969021,85.245323,27.55242,26.528444,,23204.804
07:50:10,420.340027,0.231207,97.185646,426.580078,0.231207,98.628387,,,,,,,246.327515,0.66859,165.700027,,,,,,,49.985004,84.621124,28.005289,26.942215,,23204.817
07:55:05,431.407288,0.244097,105.305138,431.230682,0.251347,108.388634,,,,,,,247.5,0.757367,184.42482,,,,,,,49.991001,86.303314,28.405605,27.342432,,23204.832
08:00:11,428.817078,0.268265,115.03653,433.879761,0.273904,118.8414,,,,,,,247.416443,0.906292,208.034348,,,,,,,49.978008,88.949974,28.865255,27.752527,,23204.848
08:05:12,436.980164,0.285182,124.619057,427.953674,0.298878,127.905769,,,,,,,247.046021,0.971317,223.502655,,,,,,,50.011002,88.507202,29.176184,28.060383,,23204.865
08:10:11,432.251068,0.278738,120.484627,440.276794,0.277126,122.012321,,,,,,,245.943451,0.906292,212.10495,,,,,,,49.997002,87.467056,29.53303,28.463125,,23204.883
