Time,I1V,I1A,I1P,I2V,I2A,I2P,I3V,I3A,I3P,I4V,I4A,I4P,G1V,G1A,G1P,G2V,G2A,G2P,G3V,G3A,G3P,FRQ,EFF,INVT,BOOT,SR,KWHT
06:25:23,141.67662,0.031418,4.451253,140.401138,0.030613,4.298072,,,,,,,0,0,0,,,,,,,49.977009,0,0,0,,23209.841
06:30:12,298.05072,0.03303,9.844497,329.192108,0.028196,9.281901,,,,,,,242.288879,0.094727,0,,,,,,,49.974014,0,20.439644,19.936054,,23209.841
06:35:05,322.991302,0.04028,13.01009,272.207489,0.045919,12.499551,,,,,,,243.953552,0.094727,0,,,,,,,49.967022,0,21.277824,20.601805,,23209.841
06:40:08,336.589905,0.050753,17.08288,325.463776,0.050753,16.518198,,,,,,,242.008316,0.094727,6.445312,,,,,,,49.967022,19.181862,21.838121,21.077326,,23209.841
06:45:01,347.382446,0.066059,22.947807,330.232117,0.068476,22.612974,,,,,,,242.897751,0.094727,16.113281,,,,,,,49.991001,35.366558,22.322718,21.552752,,23209.842
06:50:09,363.061066,0.072504,26.32338,372.519257,0.074921,27.909443,,,,,,,243.213745,0.094727,24.169922,,,,,,,49.960033,44.566963,22.884224,22.032892,,23209.843
06:55:01,369.67395,0.082171,30.376553,341.181641,0.088616,30.234154,,,,,,,242.861237,0.094727,29.80957,,,,,,,49.971016,49.182022,23.535538,22.599455,,23209.845
07:00:11,379.367615,0.094255,35.75737,388.472595,0.09345,36.302608,,,,,,,242.47171,0.094727,36.254883,,,,,,,50,50.312088,24.025393,23.074415,,23209.848
07:05:14,390.945068,0.103117,40.313007,395.497559,0.103117,40.782444,,,,,,,241.739609,0.094727,45.922852,,,,,,,50.013004,56.628151,24.595963,23.549864,,23209.852
07:10:11,382.468018,0.116812,44.676857,383.11557,0.121646,46.604324,,,,,,,242.824768,0.426047,69.633698,,,,,,,49.999001,76.284828,25.006224,24.020237,,23209.856
07:15:11,409.253143,0.124868,51.102623,402.149689,0.124062,49.891659,,,,,,,243.371597,0.426047,77.774918,,,,,,,49.988003,77.009232,25.623861,24.559307,,23209.862
07:20:05,397.67569,0.135341,53.821751,388.060516,0.144202,55.959263,,,,,,,243.055786,0.094727,82.659645,,,,,,,49.989002,75.295029,26.129942,24.929981,,23209.869
07:25:14,390.650726,0.147425,57.591606,411.60788,0.147425,60.68121,,,,,,,241.201324,0.426047,91.614975,,,,,,,50.019009,77.460724,26.557199,25.418762,,23209.877
07:30:11,411.293915,0.150647,61.960281,420.555878,0.154675,65.049568,,,,,,,241.078812,0.426047,87.544373,,,,,,,49.989002,68.927231,27.044428,25.825199,,23209.884
07:35:12,427.561218,0.15387,65.788673,408.5271,0.170787,69.771202,,,,,,,240.465332,0.426047,107.08329,,,,,,,49.981007,78.993347,27.450739,26.161804,,23209.893
07:40:07,423.538544,0.165954,70.28775,418.907562,0.177232,74.243828,,,,,,,241.654053,0.426047,117.666862,,,,,,,50,81.41256,27.757423,26.541292,,23209.902
07:45:00,426.462341,0.172398,73.521423,428.208771,0.180454,77.272156,,,,,,,243.15303,0.563284,120.923355,,,,,,,50.020008,80.191315,28.162056,26.939156,,23209.912
07:50:09,433.52655,0.177232,76.834785,420.693237,0.192538,80.999611,,,,,,,243.771835,0.563284,129.878693,,,,,,,49.996002,82.287949,28.462515,27.147223,,23209.923
07:55:04,427.816315,0.190122,81.337128,427.561218,0.198178,84.733055,,,,,,,244.570343,0.563284,137.20578,,,,,,,49.998001,82.619148,28.769091,27.450739,,23209.934
08:00:12,422.106079,0.195761,82.631821,431.897858,0.2014,86.98423,,,,,,,242.386398,0.563284,142.904633,,,,,,,50.021008,84.251823,28.976027,27.756813,,23209.945
08:05:06,414.649414,0.198178,82.174225,428.758209,0.2014,86.351906,,,,,,,241.384979,0.563284,140.462265,,,,,,,50.016006,83.347473,29.254507,28.034061,,23209.957
08:10:01,420.320404,0.205428,86.345581,416.258484,0.22154,92.217903,,,,,,,242.337662,0.66859,146.975235,,,,,,,49.998001,82.309792,29.482861,28.22814,,23209.969
08:15:05,436.940918,0.2014,87.999908,434.448822,0.223957,97.297775,,,,,,,243.080124,0.66859,152.674088,,,,,,,50.004002,82.393959,29.686024,28.365223,,23209.981
08:20:02,422.773254,0.21429,90.595917,438.451874,0.244902,107.377914,,,,,,,243.65062,0.757367,173.841248,,,,,,,49.985004,87.810219,29.985254,28.669966,,23209.995
08:25:06,451.481415,0.236846,106.931747,449.401398,0.27471,123.454887,,,,,,,240.071899,0.835581,199.07901,,,,,,,49.998001,86.410835,30.287027,28.974804,,23210.011
08:30:08,450.657257,0.265042,119.443275,458.388641,0.304517,139.587051,,,,,,,243.371597,0.971317,226.75914,,,,,,,50.001999,87.541542,30.498829,29.17802,,23210.028
08:35:12,457.68222,0.293238,134.210007,458.153168,0.337546,154.647949,,,,,,,242.934235,1.088687,256.881653,,,,,,,49.979008,88.930092,30.754683,29.482861,,23210.048
08:40:00,457.976562,0.333518,152.743622,457.68222,0.378632,173.293137,,,,,,,241.715164,1.193591,292.702972,,,,,,,50.012001,89.77607,31.006824,29.634005,,23210.07
08:45:00,462.313202,0.364937,168.715103,463.510193,0.403606,187.075317,,,,,,,242.703094,1.334413,321.197235,,,,,,,49.975014,90.277092,31.26383,29.889172,,23210.096
08:50:02,459.507141,0.404411,185.829834,459.78186,0.43019,197.793747,,,,,,,244.0867,1.460795,343.992645,,,,,,,49.988003,89.669312,31.514795,30.10458,,23210.124
08:55:01,460.978851,0.439858,202.765045,448.851959,0.478526,214.787521,,,,,,,243.56572,1.613026,383.884583,,,,,,,50.002998,91.936836,31.717962,30.296209,,23210.155
09:00:01,456.916931,0.472082,215.702072,460.507904,0.509139,234.462646,,,,,,,244.654861,1.717857,424.590668,,,,,,,49.976013,94.318954,31.921822,30.59,,23210.187
09:05:00,457.054291,0.514778,235.281693,458.172791,0.55667,255.050858,,,,,,,245.402344,1.87894,457.969635,,,,,,,49.993999,93.399803,32.131805,30.782223,,23210.224
09:10:03,460.978851,0.552642,254.756104,463.726044,0.589699,273.458893,,,,,,,244.135101,2.054843,494.605103,,,,,,,50.022011,93.637085,32.416351,30.973774,,23210.265
09:15:05,461.606781,0.590505,272.581024,461.116211,0.63723,293.836914,,,,,,,244.72731,2.163821,532.054688,,,,,,,50.016006,93.933228,32.574226,31.110237,,23210.307
09:20:03,457.780334,0.642869,294.292694,460.252808,0.687177,316.275055,,,,,,,244.425369,2.366143,573.57489,,,,,,,50.007999,93.941238,32.83559,31.309727,,23210.353
