Time,I1V,I1A,I1P,I2V,I2A,I2P,I3V,I3A,I3P,I4V,I4A,I4P,G1V,G1A,G1P,G2V,G2A,G2P,G3V,G3A,G3P,FRQ,EFF,INVT,BOOT,SR,KWHT
05:51:17,122.583633,0.034641,4.246395,121.739853,0.049142,5.982491,,,,,,,245.979492,0.768149,0,,,,,,,49.993,0,0,0,,8620.542
05:55:05,346.519043,0.021751,7.537205,347.107727,0.04028,13.981499,,,,,,,245.907425,0.768149,0,,,,,,,50.016006,0,19.65139,20.126278,,8620.542
06:00:02,312.316498,0.041891,13.083314,339.925781,0.053975,18.347563,,,,,,,245.64299,0.025757,0,,,,,,,50.031021,0,21.93317,21.361994,,8620.542
06:05:03,300.15036,0.06042,18.135086,353.249664,0.068476,24.189123,,,,,,,245.185577,0.025757,8.056641,,,,,,,50.011002,19.035536,22.514713,21.891354,,8620.542
06:10:01,333.803467,0.085394,28.504681,356.193085,0.099089,35.294746,,,,,,,244.968613,0.025757,29.003906,,,,,,,49.994999,45.461075,23.074415,22.408693,,8620.543
06:15:01,352.994568,0.101506,35.830925,341.220886,0.120034,40.958244,,,,,,,245.462555,0.025757,52.011623,,,,,,,49.984005,67.733017,23.649591,22.979263,,8620.546
06:20:07,364.709381,0.110367,40.251953,356.977997,0.132118,47.163364,,,,,,,247.177521,0.025757,51.201828,,,,,,,49.987003,58.573067,24.304432,23.549864,,8620.551
06:25:07,336.374054,0.121646,40.918427,371.126038,0.129702,48.135639,,,,,,,247.02211,0.025757,52.011623,,,,,,,49.992001,58.404549,24.717442,23.974386,,8620.555
06:30:05,365.769012,0.146619,53.628761,377.248352,0.165148,62.301811,,,,,,,245.979492,0.357765,77.115242,,,,,,,50.007,66.518471,25.317188,24.500929,,8620.56
06:35:02,373.088318,0.147425,55.002472,387.903534,0.164342,63.749001,,,,,,,246.327515,0.357765,78.734833,,,,,,,49.990002,66.302193,25.825199,24.950016,,8620.566
06:40:02,383.017456,0.152258,58.317631,390.905823,0.172398,67.391541,,,,,,,247.165558,0.025757,77.115242,,,,,,,49.974014,61.344166,26.333223,25.419378,,8620.573
06:45:01,389.041656,0.223151,86.815117,396.812286,0.247319,98.139297,,,,,,,246.207581,0.495287,137.849808,,,,,,,49.969021,74.531776,26.841253,25.926773,,8620.582
06:50:00,400.717224,0.293238,117.505676,413.059967,0.306128,126.449219,,,,,,,245.871368,0.904167,209.111694,,,,,,,49.984005,85.717361,27.379757,26.480104,,8620.595
06:55:14,413.511292,0.363326,150.239243,428.365753,0.34963,149.769699,,,,,,,246.03952,0.964817,248.791611,,,,,,,49.986004,82.92807,27.960005,27.051773,,8620.612
07:00:04,419.162659,0.410856,172.2155,434.939392,0.418912,182.20134,,,,,,,246.73494,1.222828,301.428223,,,,,,,50.043037,85.049072,28.594683,27.55242,,8620.633
07:05:07,420.143799,0.472887,198.680634,431.387665,0.531696,229.367111,,,,,,,246.675064,1.510541,375.119507,,,,,,,50.038029,87.634972,29.08375,28.060383,,8620.662
07:10:08,427.659332,0.532502,227.729294,431.191437,0.603394,260.178497,,,,,,,246.447418,1.782577,436.663849,,,,,,,49.977009,89.497208,29.629101,28.548176,,8620.695
07:15:05,427.031403,0.675898,288.629852,428.915192,0.747597,320.65564,,,,,,,246.063553,2.277544,555.703613,,,,,,,50.004002,91.20578,30.397169,28.914822,,8620.736
07:20:01,424.519684,0.829768,352.252838,427.678955,0.912745,390.361755,,,,,,,246.399445,2.823305,690.129456,,,,,,,49.996002,92.932381,31.006824,29.458988,,8620.786
07:25:03,401.698364,0.484166,194.488541,414.531677,0.517195,214.393799,,,,,,,245.366241,1.472945,354.06485,,,,,,,49.993999,86.593338,31.190393,29.889172,,8620.833
07:30:03,405.505188,0.458386,185.878067,412.000336,0.477721,196.821136,,,,,,,244.376999,1.39466,324.102478,,,,,,,50.002998,84.688568,31.108402,29.990765,,8620.861
