Time,I1V,I1A,I1P,I2V,I2A,I2P,I3V,I3A,I3P,I4V,I4A,I4P,G1V,G1A,G1P,G2V,G2A,G2P,G3V,G3A,G3P,FRQ,EFF,INVT,BOOT,SR,KWHT
06:25:00,351.091156,0.022557,7.919493,351.522858,0.041891,14.725715,,,,,,,242.727432,0.768149,0,,,,,,,49.980007,0,16.993139,17.442268,,8798.783
06:30:16,280.566803,0.04028,11.30123,295.715607,0.055586,16.437767,,,,,,,242.970703,0.025757,0,,,,,,,50.001999,0,19.361473,18.518761,,8798.783
06:35:05,331.625336,0.045919,15.227971,335.098572,0.061226,20.516611,,,,,,,243.019333,0.025757,2.416992,,,,,,,50.010002,6.761842,19.841007,18.986822,,8798.783
06:40:00,343.536377,0.055586,19.095951,371.165283,0.068476,25.415913,,,,,,,244.231888,0.025757,29.003906,,,,,,,49.997002,65.15995,20.338842,19.461193,,8798.783
06:45:06,326.444916,0.074115,24.19453,353.28891,0.083782,29.599394,,,,,,,243.055786,0.025757,19.335938,,,,,,,49.988003,35.944466,20.886562,19.936054,,8798.784
06:50:10,359.411224,0.08056,28.954168,364.49353,0.096672,35.23632,,,,,,,242.008316,0.025757,22.558594,,,,,,,49.993999,35.143204,21.362564,20.411617,,8798.786
06:55:07,368.104126,0.092644,34.102642,364.120697,0.109562,39.893646,,,,,,,241.127808,0.025757,36.254883,,,,,,,49.976013,48.995541,21.838121,20.887136,,8798.789
07:00:02,373.284546,0.102311,38.191189,399.068909,0.114395,45.651569,,,,,,,241.69072,0.025757,27.392578,,,,,,,49.988003,32.671371,22.313543,21.267523,,8798.792
07:05:10,381.369141,0.118423,45.162956,406.486328,0.135341,55.014191,,,,,,,245.81131,0.357765,53.63121,,,,,,,50.009003,53.536373,22.789076,21.807182,,8798.796
07:10:49,381.624237,0.142591,54.41626,415.748291,0.165954,68.994926,,,,,,,246.063553,0.357765,75.495651,,,,,,,49.962029,61.174076,23.39695,22.33075,,8798.802
07:15:05,399.853821,0.163537,65.390816,431.152191,0.196566,84.750038,,,,,,,244.0867,0.357765,97.3601,,,,,,,49.968021,64.84584,23.842648,22.789076,,8798.808
07:20:19,425.226105,0.18851,80.159546,430.249542,0.246514,106.062363,,,,,,,243.589981,0.495287,132.181244,,,,,,,49.968021,70.980499,24.320461,23.19529,,8798.818
07:25:17,421.929474,0.227985,96.193504,437.490356,0.297266,130.051178,,,,,,,243.844528,0.689772,171.86116,,,,,,,50,75.962517,24.880186,23.738335,,8798.83
07:30:09,419.260773,0.28196,118.214775,449.872345,0.348825,156.926636,,,,,,,245.570816,0.904167,215.590042,,,,,,,49.986004,78.356087,25.317801,24.216726,,8798.846
07:35:21,426.972534,0.33513,143.091141,457.937317,0.414078,189.621964,,,,,,,243.699112,1.126902,272.275635,,,,,,,49.948055,81.834961,25.926161,24.68022,,8798.867
07:40:00,429.248779,0.387494,166.331161,457.780334,0.471276,215.740891,,,,,,,244.389069,1.353788,324.102478,,,,,,,49.977009,84.827576,26.355247,25.114008,,8798.89
07:45:01,441.689636,0.448719,198.194626,458.898834,0.544586,249.909683,,,,,,,243.989853,1.583012,381.59787,,,,,,,49.983006,85.158272,26.841253,25.520449,,8798.919
07:50:01,440.414154,0.509945,224.586899,459.153931,0.614673,282.229462,,,,,,,245.197617,1.844239,448.000977,,,,,,,49.991001,88.395134,27.349165,25.975113,,8798.954
07:55:05,444.554565,0.574393,255.348938,459.938843,0.69201,318.282471,,,,,,,243.055786,2.125559,514.404114,,,,,,,49.984005,89.675026,27.858435,26.434797,,8798.994
08:00:08,456.485229,0.638841,291.621399,458.094299,0.780626,357.600525,,,,,,,244.546158,2.419899,584.856201,,,,,,,50.002998,90.085716,28.458229,26.682646,,8799.04
08:05:08,454.719177,0.721012,327.857971,458.486755,0.860381,394.473206,,,,,,,244.497849,2.723001,661.786621,,,,,,,49.985004,91.618172,28.974804,27.146,,8799.092
08:10:27,462.725281,0.79271,366.807159,456.759949,0.955442,436.407471,,,,,,,245.775238,3.032215,739.526855,,,,,,,49.977009,92.070892,29.682352,27.654015,,8799.154
08:15:06,459.742615,0.870854,400.3685,457.015045,1.03439,472.731995,,,,,,,245.089172,3.329193,809.979004,,,,,,,49.980007,92.770424,30.241726,28.060383,,8799.212
08:20:02,454.836914,0.968331,440.43277,456.897308,1.117367,510.522095,,,,,,,244.606583,3.632285,885.289856,,,,,,,49.986004,93.094841,30.858112,28.453945,,8799.28
08:25:02,454.758423,1.058558,481.388367,451.854248,1.222095,552.208923,,,,,,,246.758881,3.954127,970.318237,,,,,,,49.997002,93.877785,31.514795,28.873215,,8799.357
08:30:05,452.207458,1.156036,522.768127,450.382538,1.31635,592.861267,,,,,,,247.117752,4.277532,1050.487793,,,,,,,50.007,94.160995,32.192379,29.386702,,8799.441
08:35:26,447.831573,1.254319,561.723755,447.341003,1.407383,629.5802,,,,,,,245.654999,4.614196,1128.228149,,,,,,,50,94.705315,33.035084,29.990765,,8799.538
08:40:25,446.281372,1.347769,601.484131,447.007416,1.500833,670.883362,,,,,,,247.189484,4.905255,1207.587891,,,,,,,50.02301,94.908737,33.655766,30.498829,,8799.636
08:45:03,445.830048,1.435579,640.024353,442.76889,1.580587,699.8349,,,,,,,246.866592,5.1692,1268.32251,,,,,,,50.012001,94.660881,34.154549,31.006824,,8799.729
08:50:01,443.004364,1.545141,684.50415,441.218689,1.703038,751.412415,,,,,,,246.746887,5.571381,1367.927124,,,,,,,50.007999,95.265091,34.868866,31.536203,,8799.835
08:55:22,439.570374,1.657119,728.420532,439.47226,1.804544,793.047058,,,,,,,245.835327,5.936988,1453.765381,,,,,,,49.991001,95.550209,35.676056,32.022804,,8799.964
09:00:19,440.865479,1.705455,751.876343,438.824707,1.852075,812.736023,,,,,,,248.559998,6.047834,1495.874634,,,,,,,49.976013,95.606728,36.173756,32.517307,,8800.078
09:05:04,437.0979,1.809378,790.875183,439.19754,1.941496,852.700256,,,,,,,247.428375,6.37744,1570.375732,,,,,,,49.954041,95.54631,36.91058,33.038754,,8800.202
09:10:19,435.586945,1.932634,841.830322,436.273743,2.066364,901.500366,,,,,,,248.345993,6.748403,1663.502075,,,,,,,50.000999,95.420914,37.811527,33.551735,,8800.342
09:15:13,432.604279,2.046224,885.205322,437.117523,2.164647,946.205261,,,,,,,248.82135,7.068706,1751.769653,,,,,,,50.006001,95.65139,38.42857,34.114147,,8800.48
09:20:21,432.918243,2.128395,921.421143,437.23526,2.243596,980.979309,,,,,,,247.010147,7.404999,1823.031494,,,,,,,49.969021,95.827957,39.12682,34.664417,,8800.633
09:25:25,430.249542,2.219428,954.907898,434.036743,2.353963,1021.706604,,,,,,,247.189484,7.71946,1900.771729,,,,,,,49.979008,96.163002,39.814842,35.135658,,8800.787
09:30:22,429.032928,2.320128,995.411316,434.78241,2.427273,1055.335571,,,,,,,248.928162,7.931448,1970.414062,,,,,,,49.994999,96.082756,40.376026,35.602634,,8800.942
09:35:16,423.931,2.374909,1006.797485,432.152954,2.473998,1069.145386,,,,,,,249.461624,8.035338,2000.376465,,,,,,,49.986004,96.359894,41.032818,36.154175,,8801.102
09:40:02,424.598175,2.436135,1034.378296,431.623138,2.531195,1092.522461,,,,,,,248.571915,8.239177,2043.295532,,,,,,,50.009003,96.069145,41.64727,36.594757,,8801.266
09:45:06,426.638947,2.527167,1078.187988,431.171814,2.629478,1133.756958,,,,,,,245.654999,8.67072,2124.274902,,,,,,,49.997002,96.036522,42.250664,36.976662,,8801.437
