#3 30/03/2020 17:00:17	VGrid high warning 252.51 V on phase 1

#3 30/03/2020 16:55:32	VGrid high warning 253.02 V on phase 1

#3 30/03/2020 16:50:06	VGrid high warning 251.1 V on phase 1

#3 30/03/2020 16:45:05	VGrid high warning 251.1 V on phase 1

#3 30/03/2020 16:30:19	VGrid high warning 251.57 V on phase 1

#* 30/03/2020 16:22:45	Starting 123Solar (23477)

#* 30/03/2020 16:22:43	Stopping 123Solar (23428)

#* 30/03/2020 16:21:18	Starting 123Solar (23428)

#* 30/03/2020 16:21:16	Stopping 123Solar (23182)

#3 30/03/2020 16:20:08	VGrid high warning 250.69 V on phase 1

#3 30/03/2020 16:15:22	Clean up

#3 30/03/2020 16:10:35	Missing 5' sample

#* 30/03/2020 16:10:35	Starting 123Solar (23182)

#* 30/03/2020 16:10:33	Stopping 123Solar (12962)

#3 30/03/2020 06:30:19	Missing 5' sample

#3 30/03/2020 06:25:01	Missing 5' sample

#3 30/03/2020 06:20:34	Missing 5' sample

#* 30/03/2020 06:17:47	123Solar awake

#* 29/03/2020 19:17:46	123Solar asleep

#3 29/03/2020 15:10:30	VGrid high warning 250.64 V on phase 1

#3 29/03/2020 15:05:08	VGrid high warning 250.94 V on phase 1

#3 29/03/2020 14:55:24	VGrid high warning 250.19 V on phase 1

#3 29/03/2020 14:50:29	VGrid high warning 250.17 V on phase 1

#3 29/03/2020 14:45:13	VGrid high warning 252.03 V on phase 1

#3 29/03/2020 14:25:18	VGrid high warning 252.24 V on phase 1

#3 29/03/2020 14:20:25	VGrid high warning 252.24 V on phase 1

#3 29/03/2020 14:15:30	VGrid high warning 251.01 V on phase 1

#3 29/03/2020 14:10:19	VGrid high warning 250.36 V on phase 1

#3 29/03/2020 14:05:26	VGrid high warning 250.03 V on phase 1

#3 29/03/2020 14:00:15	VGrid high warning 252.43 V on phase 1

#3 29/03/2020 13:55:24	VGrid high warning 252.76 V on phase 1

#3 29/03/2020 13:50:35	VGrid high warning 250.38 V on phase 1

#3 29/03/2020 13:40:26	VGrid high warning 251.22 V on phase 1

#3 29/03/2020 13:35:17	VGrid high warning 250.21 V on phase 1

#3 29/03/2020 13:30:28	VGrid high warning 250.36 V on phase 1

#3 29/03/2020 13:15:21	VGrid high warning 251.09 V on phase 1

#3 29/03/2020 13:10:38	VGrid high warning 252.65 V on phase 1

#3 29/03/2020 13:05:10	VGrid high warning 252.52 V on phase 1

#3 29/03/2020 12:55:13	VGrid high warning 251.14 V on phase 1

#3 29/03/2020 12:50:20	VGrid high warning 251.33 V on phase 1

#3 29/03/2020 12:20:00	VGrid high warning 250.12 V on phase 1

#3 29/03/2020 12:15:34	VGrid high warning 251.8 V on phase 1

#3 29/03/2020 11:25:09	VGrid high warning 250.51 V on phase 1

#3 29/03/2020 11:20:01	VGrid high warning 252.12 V on phase 1

#3 29/03/2020 11:15:31	VGrid high warning 250.75 V on phase 1

#3 29/03/2020 10:50:29	VGrid high warning 250.54 V on phase 1

#3 29/03/2020 07:44:51	Sync. inverter time

#3 29/03/2020 06:50:16 
Alarm 1:               Bulk UV W011
Alarm 2:               Bulk UV W011
Alarm 3:               Bulk UV W011
Alarm 4:               Bulk UV W011

#3 29/03/2020 06:45:40	Clean up

#3 29/03/2020 06:34:53	Missing 5' sample

#3 29/03/2020 06:30:26	Missing 5' sample

#3 29/03/2020 06:25:33	Missing 5' sample

#* 29/03/2020 06:20:07	123Solar awake

#* 28/03/2020 18:15:06	123Solar asleep

#3 28/03/2020 16:32:07	VGrid high warning 250.84 V on phase 1

#3 28/03/2020 16:22:00	VGrid high warning 250.21 V on phase 1

#3 28/03/2020 16:17:12	VGrid high warning 250.03 V on phase 1

#3 28/03/2020 16:07:30	VGrid high warning 250.54 V on phase 1

#3 28/03/2020 16:02:21	VGrid high warning 250.98 V on phase 1

#3 28/03/2020 15:57:02	VGrid high warning 250.47 V on phase 1

#3 28/03/2020 15:42:08	VGrid high warning 250.12 V on phase 1

#3 28/03/2020 15:32:09	VGrid high warning 251.89 V on phase 1

#3 28/03/2020 15:22:34	VGrid high warning 250.45 V on phase 1

#3 28/03/2020 15:17:12	VGrid high warning 251.98 V on phase 1

#3 28/03/2020 15:12:22	VGrid high warning 250.56 V on phase 1

#3 28/03/2020 15:07:03	VGrid high warning 252.04 V on phase 1

#3 28/03/2020 15:02:06	VGrid high warning 252.22 V on phase 1

#3 28/03/2020 14:57:18	VGrid high warning 250.9 V on phase 1

#3 28/03/2020 14:42:13	VGrid high warning 253.29 V on phase 1

#* 28/03/2020 14:37:26	Starting 123Solar (32190)

#* 28/03/2020 14:37:24	Stopping 123Solar (23994)

#3 28/03/2020 09:05:26	VGrid high warning 251.16 V on phase 1

#3 28/03/2020 08:55:16	VGrid high warning 250.41 V on phase 1

#3 28/03/2020 06:34:51	Sync. inverter time

#3 28/03/2020 05:40:05 
Alarm 1:               Bulk UV W011
Alarm 2:               Bulk UV W011
Alarm 3:               Bulk UV W011
Alarm 4:               Bulk UV W011

#3 28/03/2020 05:35:02	Clean up

#3 28/03/2020 05:24:56	Missing 5' sample

