#* 29/03/2020 06:20:07	123Solar awake

#* 28/03/2020 18:15:06	123Solar asleep

#1 28/03/2020 15:30:00	VGrid high warning 250.09 V on phase 1

#1 28/03/2020 15:15:06	VGrid high warning 250.58 V on phase 1

#1 28/03/2020 15:05:22	VGrid high warning 251.03 V on phase 1

#1 28/03/2020 15:00:04	VGrid high warning 250.34 V on phase 1

#1 28/03/2020 14:40:12	VGrid high warning 251.3 V on phase 1

#* 28/03/2020 14:37:26	Starting 123Solar (32190)

#* 28/03/2020 14:37:24	Stopping 123Solar (23994)

#1 28/03/2020 14:15:12	VGrid high warning 250.91 V on phase 1

#1 28/03/2020 13:40:01	VGrid high warning 250.1 V on phase 1

#* 28/03/2020 09:21:33	Starting 123Solar (23994)

#* 28/03/2020 09:21:31	Stopping 123Solar (7823)

#1 28/03/2020 06:35:18	Sync. inverter time

#1 28/03/2020 05:35:12	Clean up log

#1 28/03/2020 05:34:26 
Alarm 1:               Bulk UV W011
Alarm 2:               Bulk UV W011
Alarm 3:               Bulk UV W011
Alarm 4:               Bulk UV W011

#1 28/03/2020 05:25:31	Missing 5' sample

#* 28/03/2020 05:22:01	123Solar awake

#* 27/03/2020 18:13:00	123Solar asleep

#* 27/03/2020 16:13:00	Starting 123Solar (7823)

#* 27/03/2020 16:12:58	Stopping 123Solar (21235)

#1 27/03/2020 16:00:26	VGrid high warning 250.11 V on phase 1

#1 27/03/2020 13:45:05	VGrid high warning 250.9 V on phase 1

#* 27/03/2020 09:06:28	Starting 123Solar (21235)

#* 27/03/2020 09:06:23	Stopping 123Solar (16884)

#1 27/03/2020 06:40:27	Sync. inverter time

#1 27/03/2020 05:40:12	Clean up log

#1 27/03/2020 05:39:07 
Alarm 1:               Bulk UV W011
Alarm 2:               Bulk UV W011
Alarm 3:               Bulk UV W011
Alarm 4:               Bulk UV W011

#1 27/03/2020 05:24:58	Missing 5' sample

#* 27/03/2020 05:24:02	123Solar awake

#* 26/03/2020 18:12:01	123Solar asleep

#* 26/03/2020 15:24:55	Starting 123Solar (16884)

#* 26/03/2020 15:24:52	Stopping 123Solar (17167)

#1 26/03/2020 14:14:04	VGrid high warning 250.57 V on phase 1

#1 26/03/2020 14:09:05	VGrid high warning 250.25 V on phase 1

#1 26/03/2020 14:04:07	VGrid high warning 250.35 V on phase 1

#1 26/03/2020 13:39:22	VGrid high warning 250.28 V on phase 1

#* 26/03/2020 09:36:57	Starting 123Solar (17167)

#* 26/03/2020 09:36:53	Stopping 123Solar (25503)

#1 26/03/2020 06:45:16	Sync. inverter time

#1 26/03/2020 05:44:59	Clean up log

#1 26/03/2020 05:43:01 
Alarm 1:               Bulk UV W011
Alarm 2:               Bulk UV W011
Alarm 3:               Bulk UV W011
Alarm 4:               Bulk UV W011

#1 26/03/2020 05:43:01	iLeak warning 15.3 mA

#1 26/03/2020 05:29:57	Missing 5' sample

#* 26/03/2020 05:26:06	123Solar awake

#* 25/03/2020 18:10:05	123Solar asleep

#* 25/03/2020 15:34:11	Starting 123Solar (25503)

#* 25/03/2020 15:34:10	Stopping 123Solar (18635)

#1 25/03/2020 13:12:16	VGrid high warning 250.32 V on phase 1

#1 25/03/2020 13:02:18	VGrid high warning 250.43 V on phase 1

#1 25/03/2020 12:47:06	VGrid high warning 250.08 V on phase 1

#1 25/03/2020 12:42:04	VGrid high warning 250.01 V on phase 1

#1 25/03/2020 12:37:03	VGrid high warning 250.98 V on phase 1

#1 25/03/2020 12:32:08	VGrid high warning 250.69 V on phase 1

#1 25/03/2020 12:27:25	VGrid high warning 251.17 V on phase 1

#1 25/03/2020 12:22:24	VGrid high warning 251.24 V on phase 1

#1 25/03/2020 12:17:22	VGrid high warning 250.11 V on phase 1

#1 25/03/2020 12:07:04	VGrid high warning 250.95 V on phase 1

#1 25/03/2020 12:02:26	VGrid high warning 250.94 V on phase 1

#1 25/03/2020 11:57:18	VGrid high warning 250.34 V on phase 1

#1 25/03/2020 11:52:03	VGrid high warning 250.8 V on phase 1

#1 25/03/2020 10:12:17	VGrid high warning 250.16 V on phase 1

#1 25/03/2020 10:07:20	VGrid high warning 251.16 V on phase 1

#1 25/03/2020 09:57:24	VGrid high warning 250.05 V on phase 1

#* 25/03/2020 08:48:49	Starting 123Solar (18635)

#* 25/03/2020 08:48:45	Stopping 123Solar (32437)

#1 25/03/2020 06:40:06	Sync. inverter time

#1 25/03/2020 05:45:06 
Alarm 1:               Bulk UV W011
Alarm 2:               Bulk UV W011
Alarm 3:               Bulk UV W011
Alarm 4:               Bulk UV W011

#1 25/03/2020 05:40:01	Clean up log

#1 25/03/2020 05:39:07 
Alarm 1:               Bulk UV W011
Alarm 2:               Bulk UV W011
Alarm 3:               Bulk UV W011
Alarm 4:               Bulk UV W011

#* 25/03/2020 05:29:09	123Solar awake

#* 24/03/2020 18:08:08	123Solar asleep

#* 24/03/2020 15:52:29	Starting 123Solar (32437)

#* 24/03/2020 15:52:26	Stopping 123Solar (16659)

#1 24/03/2020 13:59:02	VGrid high warning 251.82 V on phase 1

#1 24/03/2020 13:39:13	VGrid high warning 250.38 V on phase 1

#1 24/03/2020 12:09:04	VGrid high warning 250.12 V on phase 1

#1 24/03/2020 10:24:13	VGrid high warning 250.02 V on phase 1

#1 24/03/2020 10:14:04	VGrid high warning 251.07 V on phase 1

#1 24/03/2020 10:09:13	VGrid high warning 250.82 V on phase 1

#1 24/03/2020 10:04:02	VGrid high warning 251.04 V on phase 1

#1 24/03/2020 09:54:02	VGrid high warning 250.41 V on phase 1

#1 24/03/2020 09:49:02	VGrid high warning 250.64 V on phase 1

#1 24/03/2020 08:39:59	Missing 5' sample

#* 24/03/2020 08:39:33	Starting 123Solar (16659)

#* 24/03/2020 08:39:27	Stopping 123Solar (15308)

#1 24/03/2020 07:39:55	Sync. inverter time

#1 24/03/2020 05:40:41	Clean up log

#1 24/03/2020 05:34:52	Missing 5' sample

#* 24/03/2020 05:31:16	123Solar awake

#* 23/03/2020 18:07:15	123Solar asleep

#* 23/03/2020 17:02:56	Starting 123Solar (15308)

#* 23/03/2020 17:02:54	Stopping 123Solar (6477)

#1 23/03/2020 14:30:10	VGrid high warning 250.27 V on phase 1

#1 23/03/2020 14:05:15	VGrid high warning 250.82 V on phase 1

#1 23/03/2020 06:44:58	Sync. inverter time

#1 23/03/2020 05:45:00	Clean up log

#1 23/03/2020 05:44:13 
Alarm 1:               Bulk UV W011
Alarm 2:               Bulk UV W011
Alarm 3:               Bulk UV W011
Alarm 4:               Bulk UV W011

#1 23/03/2020 05:34:54	Missing 5' sample

#* 23/03/2020 05:33:02	123Solar awake

#* 22/03/2020 18:05:01	123Solar asleep

#* 22/03/2020 18:00:10	Starting 123Solar (6477)

#* 22/03/2020 18:00:08	Stopping 123Solar (4107)

#* 22/03/2020 16:10:07	Starting 123Solar (4107)

#* 22/03/2020 16:10:05	Stopping 123Solar (6897)

#1 22/03/2020 14:34:12	VGrid high warning 250.28 V on phase 1

#1 22/03/2020 13:44:01	VGrid high warning 250.51 V on phase 1

#1 22/03/2020 13:29:09	VGrid high warning 250.03 V on phase 1

#1 22/03/2020 06:44:59	Sync. inverter time

#1 22/03/2020 05:44:58	Clean up log

#1 22/03/2020 05:39:59	Missing 5' sample

#* 22/03/2020 05:35:09	123Solar awake

#* 21/03/2020 18:03:08	123Solar asleep

#1 21/03/2020 15:00:13	VGrid high warning 251.57 V on phase 1

#1 21/03/2020 13:25:05	VGrid high warning 250.03 V on phase 1

#* 21/03/2020 12:47:18	Starting 123Solar (6897)

#* 21/03/2020 12:47:16	Stopping 123Solar (7378)

#1 21/03/2020 07:05:15	Sync. inverter time

#* 21/03/2020 06:29:30	Starting 123Solar (7378)

#* 21/03/2020 06:29:28	Stopping 123Solar (5939)

#* 21/03/2020 06:09:37	Starting 123Solar (5939)

#* 21/03/2020 06:09:35	Stopping 123Solar (29798)

#1 21/03/2020 06:09:04 
Alarm 1:               Bulk UV W011
Alarm 2:               Bulk UV W011
Alarm 3:               Bulk UV W011
Alarm 4:               Bulk UV W011

#1 21/03/2020 06:04:59	Clean up log

#1 21/03/2020 06:03:11 
Alarm 1:               Bulk UV W011
Alarm 2:               Bulk UV W011
Alarm 3:               Bulk UV W011
Alarm 4:               Bulk UV W011

#1 21/03/2020 06:00:08	Missing 5' sample

#1 21/03/2020 05:54:58	Missing 5' sample

#1 21/03/2020 05:50:05	Missing 5' sample

#1 21/03/2020 05:45:10	Missing 5' sample

#1 21/03/2020 05:40:00	Missing 5' sample

#* 21/03/2020 05:38:08	123Solar awake

#* 20/03/2020 18:02:07	123Solar asleep

#1 20/03/2020 18:00:02	Riso warning 4.3 Mohm

#1 20/03/2020 17:55:15	Riso warning 4.3 Mohm

#1 20/03/2020 17:50:07	Riso warning 4.3 Mohm

#1 20/03/2020 17:45:14	Riso warning 4.3 Mohm

#1 20/03/2020 17:40:16	Riso warning 4.3 Mohm

#1 20/03/2020 17:35:08	Riso warning 4.3 Mohm

#1 20/03/2020 17:30:09	Riso warning 4.3 Mohm

#1 20/03/2020 17:25:13	Riso warning 4.3 Mohm

#1 20/03/2020 17:20:13	Riso warning 4.3 Mohm

#1 20/03/2020 17:15:14	Riso warning 4.3 Mohm

#1 20/03/2020 17:10:09	Riso warning 4.3 Mohm

#1 20/03/2020 17:05:15	Riso warning 4.3 Mohm

#1 20/03/2020 17:00:07	Riso warning 4.3 Mohm

#1 20/03/2020 16:55:00	Riso warning 4.3 Mohm

#1 20/03/2020 16:50:10	Riso warning 4.3 Mohm

#1 20/03/2020 16:45:07	Riso warning 4.3 Mohm

#1 20/03/2020 16:40:09	Riso warning 4.3 Mohm

#1 20/03/2020 16:35:14	Riso warning 4.3 Mohm

#1 20/03/2020 16:30:03	Riso warning 4.3 Mohm

#1 20/03/2020 16:25:06	Riso warning 4.3 Mohm

#1 20/03/2020 16:20:00	Riso warning 4.3 Mohm

#1 20/03/2020 16:15:01	Riso warning 4.3 Mohm

#1 20/03/2020 16:10:16	Riso warning 4.3 Mohm

#1 20/03/2020 16:05:09	Riso warning 4.3 Mohm

#1 20/03/2020 16:00:00	Riso warning 4.3 Mohm

#1 20/03/2020 15:55:02	Riso warning 4.3 Mohm

#1 20/03/2020 15:50:10	Riso warning 4.3 Mohm

#1 20/03/2020 15:45:02	Riso warning 4.3 Mohm

#1 20/03/2020 15:40:16	Riso warning 4.3 Mohm

#1 20/03/2020 15:35:10	Riso warning 4.3 Mohm

#1 20/03/2020 15:30:07	Riso warning 4.3 Mohm

#1 20/03/2020 15:25:02	Riso warning 4.3 Mohm

#1 20/03/2020 15:20:15	Riso warning 4.3 Mohm

#1 20/03/2020 15:15:07	Riso warning 4.3 Mohm

#1 20/03/2020 15:10:13	Riso warning 4.3 Mohm

#1 20/03/2020 15:05:05	Riso warning 4.3 Mohm

#1 20/03/2020 15:00:03	Riso warning 4.3 Mohm

#1 20/03/2020 14:55:03	Riso warning 4.3 Mohm

#1 20/03/2020 14:50:17	Riso warning 4.3 Mohm

