Time,I1V,I1A,I1P,I2V,I2A,I2P,I3V,I3A,I3P,I4V,I4A,I4P,G1V,G1A,G1P,G2V,G2A,G2P,G3V,G3A,G3P,FRQ,EFF,INVT,BOOT,SR,KWHT
06:21:12,162.084335,0.044308,7.181633,180.784866,0.02739,4.95177,,,,,,,244.618652,0.835685,0,,,,,,,49.977009,0,18.327961,18.319357,,17779.126
06:25:19,321.970917,0.036252,11.67209,224.798813,0.03303,7.425015,,,,,,,245.281952,0.093384,0,,,,,,,49.985004,0,19.280153,19.270432,,17779.126
06:30:25,308.019104,0.048336,14.888412,290.849152,0.037058,10.778172,,,,,,,244.908295,0.093384,0,,,,,,,49.979008,0,21.267523,20.314756,,17779.126
06:35:04,322.539978,0.058003,18.708351,274.679962,0.049947,13.719496,,,,,,,244.920349,0.093384,0,,,,,,,49.990002,0,21.74412,20.782822,,17779.126
06:40:15,331.487976,0.065254,21.630783,302.505096,0.056392,17.058868,,,,,,,246.08754,0.093384,8.862305,,,,,,,50.004002,22.906137,22.313543,21.267523,,17779.126
06:45:01,348.167358,0.076532,26.645945,318.28183,0.071698,22.820299,,,,,,,245.763214,0.093384,8.862305,,,,,,,49.984005,17.915863,22.789076,21.696589,,17779.127
06:50:15,337.845764,0.088616,29.938541,333.646484,0.082171,27.416132,,,,,,,245.366241,0.093384,23.364258,,,,,,,49.993999,40.73645,23.359669,22.220795,,17779.129
06:55:18,355.153076,0.102311,36.33614,333.489502,0.095061,31.70178,,,,,,,245.474564,0.093384,31.420898,,,,,,,49.979008,46.181454,23.923943,22.707191,,17779.131
07:00:16,353.818726,0.105534,37.339764,362.17804,0.107145,38.805496,,,,,,,244.364914,0.562856,40.283203,,,,,,,50.011002,52.903099,24.405773,23.170055,,17779.134
07:05:05,366.612793,0.121646,44.596836,355.310059,0.111978,39.787052,,,,,,,244.582397,0.093384,46.728516,,,,,,,50.032021,55.376114,24.881332,23.645016,,17779.138
07:10:27,371.891327,0.124868,46.437328,349.658691,0.117618,41.126015,,,,,,,244.425369,0.425351,69.146744,,,,,,,49.997002,78.967682,25.418762,24.120544,,17779.142
07:15:15,379.249878,0.134535,51.022461,359.705566,0.132924,47.813503,,,,,,,244.872101,0.425351,89.251457,,,,,,,49.984005,90.302612,25.827646,24.500929,,17779.148
07:20:13,378.91629,0.146619,55.556404,377.699677,0.136952,51.726727,,,,,,,242.032715,0.093384,81.209572,,,,,,,49.988003,75.696495,26.231628,24.921974,,17779.154
07:25:04,385.195587,0.151453,58.338955,381.722351,0.14823,56.582859,,,,,,,242.19133,0.425351,87.643074,,,,,,,49.978008,76.263222,26.639196,25.317188,,17779.161
07:30:07,373.892853,0.16112,60.241615,386.608429,0.156286,60.421642,,,,,,,243.080124,0.425351,92.468208,,,,,,,49.978008,76.633278,27.044428,25.71689,,17779.168
07:35:16,385.902008,0.167565,64.663597,387.255981,0.161926,62.706657,,,,,,,245.75119,0.425351,99.705902,,,,,,,49.958035,78.280365,27.349165,26.028368,,17779.176
07:40:03,391.435638,0.175621,68.74424,397.714935,0.167565,66.643028,,,,,,,246.003494,0.425351,97.293335,,,,,,,49.986004,71.862991,27.654015,26.333223,,17779.185
07:45:18,396.203979,0.18126,71.815933,385.882385,0.182066,70.255913,,,,,,,245.715134,0.425351,114.18129,,,,,,,49.992001,80.368698,27.959393,26.671642,,17779.194
07:50:10,396.341339,0.190927,75.672348,380.996307,0.190927,72.742561,,,,,,,245.438477,0.425351,117.398048,,,,,,,49.981007,79.10125,28.26363,26.942827,,17779.204
07:55:06,392.84848,0.202206,79.436165,393.044708,0.193344,75.992844,,,,,,,244.932419,0.562856,123.831551,,,,,,,49.983006,79.670807,28.566536,27.155176,,17779.213
08:00:00,397.616821,0.202206,80.400345,388.806183,0.202206,78.61879,,,,,,,246.699005,0.425351,129.460876,,,,,,,50.001999,81.41214,28.771538,27.450739,,17779.224
08:05:04,392.259796,0.211873,83.109184,386.431824,0.207845,80.317848,,,,,,,246.63913,0.668368,133.481812,,,,,,,50.009003,81.676704,28.978474,27.654015,,17779.235
08:10:14,390.415253,0.217512,84.920006,382.840851,0.212678,81.421982,,,,,,,244.195618,0.668368,143.936264,,,,,,,49.999001,86.530327,29.228804,27.881685,,17779.247
08:15:00,398.480225,0.223957,89.242363,399.99118,0.223151,89.258514,,,,,,,245.318069,0.562856,147.153015,,,,,,,49.986004,82.438255,29.39222,28.162056,,17779.258
08:20:04,395.006989,0.240069,94.828857,399.343628,0.244097,97.4785,,,,,,,245.594894,0.668368,162.432602,,,,,,,49.993,84.465096,29.586269,28.337683,,17779.271
08:25:01,400.658356,0.258598,103.609291,399.677216,0.264237,105.609428,,,,,,,246.243561,0.757318,187.362442,,,,,,,50.007999,89.553383,29.889172,28.568371,,17779.285
08:30:02,405.701416,0.281154,114.064735,409.351257,0.290822,119.048195,,,,,,,245.727173,0.835685,198.621078,,,,,,,50.001999,85.203804,30.091112,28.775211,,17779.301
08:35:09,412.235809,0.306128,126.196922,408.546722,0.320629,130.991852,,,,,,,245.414398,0.906534,222.746719,,,,,,,49.994999,86.608253,30.295599,29.076378,,17779.319
08:40:16,411.784485,0.339158,139.659836,415.061493,0.351242,145.786865,,,,,,,245.402344,1.032329,250.893311,,,,,,,49.987003,87.894974,30.578983,29.280207,,17779.339
08:45:21,417.023773,0.368159,153.531143,415.198853,0.387494,160.886902,,,,,,,244.231888,1.143157,278.235718,,,,,,,49.996002,88.492294,30.803661,29.482861,,17779.361
08:50:17,412.255432,0.400383,165.06015,416.435089,0.425357,177.133499,,,,,,,245.594894,1.290309,309.59906,,,,,,,49.992001,90.474808,31.020899,29.733139,,17779.385
08:55:10,414.570923,0.447914,185.691956,418.063782,0.468054,195.676254,,,,,,,243.09227,1.421253,343.374969,,,,,,,50.007999,90.037643,31.310949,29.986481,,17779.412
09:00:18,419.005676,0.49061,205.568558,420.438141,0.512362,215.416351,,,,,,,244.340729,1.577987,384.38858,,,,,,,50.009003,91.306976,31.514795,30.194613,,17779.443
09:05:11,418.063782,0.538946,225.313965,419.515869,0.561503,235.559509,,,,,,,246.627151,1.753221,422.989624,,,,,,,49.977009,91.779991,31.817804,30.405127,,17779.477
09:10:26,416.16037,0.586477,244.068405,420.909088,0.613062,258.043213,,,,,,,246.399445,1.911644,468.02417,,,,,,,49.993,93.211182,32.048534,30.65732,,17779.515
09:15:12,418.436615,0.63723,266.640198,422.086456,0.660592,278.826935,,,,,,,246.339493,2.057329,501.800079,,,,,,,50.000999,91.994553,32.334358,30.896057,,17779.554
09:20:08,419.221527,0.690399,289.430206,414.943756,0.730679,303.190765,,,,,,,247.344788,2.244778,550.855591,,,,,,,49.991001,92.952431,32.659283,31.006824,,17779.596
09:25:06,422.302307,0.73229,309.247955,418.201141,0.776598,324.774323,,,,,,,246.998184,2.417155,591.065002,,,,,,,50.004002,93.224648,32.935959,31.260155,,17779.644
09:30:16,421.870605,0.787877,332.38208,417.789062,0.833796,348.350861,,,,,,,247.833969,2.621572,640.120483,,,,,,,50.010002,94.034019,33.241405,31.514795,,17779.697
09:35:09,418.75058,0.845074,353.875397,426.109131,0.874882,372.795044,,,,,,,245.582855,2.810654,684.35083,,,,,,,50.012001,94.176231,33.546841,31.819027,,17779.752
09:40:02,420.418518,0.882132,370.864655,426.109131,0.919995,392.018372,,,,,,,245.330109,2.968306,719.735107,,,,,,,50.002998,94.344093,33.85157,32.022804,,17779.809
09:45:22,420.006439,0.936913,393.50943,421.537018,0.98686,415.998047,,,,,,,247.225311,3.135915,766.378052,,,,,,,50.006001,94.672142,34.252468,32.22665,,17779.875
09:50:11,418.61322,0.994916,416.484985,419.201904,1.036002,434.293884,,,,,,,247.141678,3.260151,802.566528,,,,,,,50.019009,94.333153,34.464928,32.422474,,17779.938
09:55:17,418.848694,1.050502,440.001556,417.475098,1.102061,460.082947,,,,,,,248.785706,3.44609,850.013672,,,,,,,50.011002,94.437096,34.768517,32.632359,,17780.009
10:00:21,422.361176,1.108506,468.189728,416.356598,1.166509,485.683624,,,,,,,247.010147,3.68416,899.873352,,,,,,,50.011002,94.338867,35.172371,32.937183,,17780.082
10:05:27,422.478912,1.162481,491.123627,420.752106,1.201955,505.725189,,,,,,,248.107971,3.863808,946.516235,,,,,,,49.962029,94.950829,35.542667,33.229782,,17780.161
14:45:05,383.076324,2.706011,1036.608643,371.498871,2.785765,1034.908569,,,,,,,248.880692,8.081322,2006.436523,,,,,,,50.015003,96.858315,36.418522,32.423695,,17780.731
14:50:15,387.157867,2.667342,1032.682373,374.697388,2.752735,1031.442749,,,,,,,247.845901,8.101989,1999.198853,,,,,,,50,96.854546,37.586964,33.445267,,17780.903
14:55:04,386.137482,2.626256,1014.095886,375.560791,2.730984,1025.650513,,,,,,,250.088455,7.935125,1975.07312,,,,,,,50.025013,96.829346,38.408352,34.294079,,17781.064
15:00:15,387.334473,2.650424,1026.600586,376.6008,2.739846,1031.828125,,,,,,,251.443192,7.935125,1986.331787,,,,,,,50.030018,96.497475,39.438347,35.273956,,17781.236
15:05:26,387.31485,2.633507,1019.996216,375.246826,2.723734,1022.072388,,,,,,,251.490189,7.92106,1979.898315,,,,,,,49.999001,96.955528,40.153908,36.086872,,17781.406
15:10:20,386.000122,2.593226,1000.985718,374.873993,2.692315,1009.278992,,,,,,,251.325699,7.814748,1953.360107,,,,,,,49.994999,97.169304,40.746281,36.696331,,17781.569
15:15:16,383.351044,2.573087,986.395386,375.168335,2.660897,998.284241,,,,,,,251.19635,7.663404,1916.367432,,,,,,,50.022011,96.558022,41.307629,37.305428,,17781.726
15:20:23,387.138245,2.51025,971.81366,377.503448,2.612561,986.250793,,,,,,,250.041199,7.626923,1889.829224,,,,,,,50.019009,96.515167,41.671131,37.813362,,17781.888
15:25:21,379.956299,2.491721,946.745056,374.775879,2.577115,965.840393,,,,,,,249.449799,7.494098,1859.27002,,,,,,,50.013004,97.212395,42.039536,38.145088,,17782.045
15:30:30,383.194061,2.469164,946.169006,377.248352,2.567447,968.565247,,,,,,,252.135406,7.396666,1852.032349,,,,,,,50.001999,96.725296,42.263515,38.480576,,17782.206
15:35:30,387.295227,2.425662,939.447144,377.169861,2.52475,952.259766,,,,,,,251.431442,7.351256,1837.557007,,,,,,,50.006001,97.137512,42.486439,38.728477,,17782.359
15:40:13,387.883911,2.436135,944.937378,378.56308,2.549724,965.231384,,,,,,,251.407944,7.381561,1853.640747,,,,,,,50.005001,97.04068,42.73922,39.030144,,17782.502
15:45:03,381.898956,2.423245,925.434692,375.855133,2.551335,958.932495,,,,,,,251.07872,7.320826,1827.906738,,,,,,,49.987003,97.003746,42.897705,39.134773,,17782.649
15:50:27,383.625763,2.324962,891.915161,377.150238,2.410355,909.066101,,,,,,,249.674683,7.025066,1745.075317,,,,,,,50.006001,96.895805,42.972965,39.337929,,17782.814
15:55:10,386.372955,2.329795,900.169922,383.213684,2.415189,925.533386,,,,,,,248.678833,7.151107,1771.613525,,,,,,,50.014004,97.037315,43.172447,39.446301,,17782.952
16:00:29,390.454498,2.28871,893.636963,381.99707,2.393438,914.286133,,,,,,,249.970306,7.009149,1742.66272,,,,,,,50.004002,96.390312,43.269733,39.642727,,17783.107
16:05:21,388.452972,2.251652,874.660889,382.193298,2.357991,901.208435,,,,,,,250.171127,6.920945,1722.557983,,,,,,,50.002998,96.998009,43.280136,39.758537,,17783.247
